id,name,category,description,graphicsFile,isDefault,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRate,jobsProvided,jobsRequired,energyProvided,energyRequired,educationProvided,educationRequired,foodProvided,foodRequired,housingProvided,housingRequired,healthcareProvided,healthcareRequired,culture_impact,culture_attenuation,affordability_impact,affordability_attenuation,resilience_impact,resilience_attenuation,environment_impact,environment_attenuation,noise_impact,noise_attenuation,safety_impact,safety_attenuation,civicScore
fire_station,Fire Station,civic,Emergency response services that improve city-wide safety,assets/buildings/civic/fire_station.png,true,1500,5,0,8,0.05,3,0,0,5,0,0,0,0,0,0,0,0,20,3,10,4,30,5,15,2,-20,10,80,6,155
library,Library,civic,Public library providing educational and cultural resources,assets/buildings/education/library.png,true,400,3,0,2,0.05,3,1,0,8,8,0,0,0,0,0,0,0,40,12,15,5,25,8,10,1,-5,1,15,5,100
public_pool,Public Pool,civic,Community recreation and fitness facility,assets/buildings/civic/public_pool.png,true,300,4,15,3,0.12,4,1,0,12,0,0,0,0,0,0,2,0,25,10,12,8,18,8,12,2,-15,3,20,4,72
park,Park,civic,Green space providing environmental and recreational benefits,assets/buildings/civic/park.png,true,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,18,25,35,15,50,1,25,2,15,2,173
cottage,Cottage,housing,Small family home with 2 bedrooms,assets/buildings/housing/cottage.png,true,250,1,10,1,0.1,0,0,0,2,0,0,0,0,2,0,0,0,12,2,35,3,15,2,20,2,18,2,25,2,125
apartment_complex,Apartment Complex,housing,Multi-family housing with 8 bedrooms,assets/buildings/housing/apartments.png,true,800,7,80,5,0.15,1,1,0,30,0,0,0,0,10,0,0,0,8,2,45,4,18,2,-15,3,-25,5,18,2,49
farmers_market,Farmers Market,commercial,Local food distribution center,assets/buildings/commercial/farmers_market.png,true,250,2,25,2,0.12,2,1,0,5,0,0,16,0,0,0,0,0,22,12,20,5,12,8,28,1,15,2,12,3,109
taqueria,Taqueria,commercial,A great little place I know,assets/buildings/commercial/taqueria.png,true,700,4,30,4,0.135,6,0,0,8,0,0,8,0,0,0,0,0,25,3,15,3,10,2,8,2,10,2,12,2,80
elementary_school,Elementary School,education,Primary education for children ages 5-13,assets/buildings/education/elementary_school.png,true,600,5,0,4,0.08,8,2,0,15,12,0,0,0,0,0,0,0,35,8,20,3,28,12,15,2,-12,3,22,5,108
high_school,High School,education,Secondary education for teenagers ages 14-18,assets/buildings/education/high_school.png,true,1000,8,0,6,0.08,12,3,0,25,20,0,0,0,0,0,0,0,40,5,25,3,32,15,12,2,-15,3,25,5,119
solar_farm,Solar Farm,energy,Renewable energy generation facility,assets/buildings/energy/solar_farm.png,true,1000,4,15,1,0.08,2,1,25,0,0,0,0,0,0,0,0,0,15,5,35,30,25,3,75,1,10,1,18,3,178
coal_plant,Coal Plant,energy,A dirty source of energy that pollutes,assets/buildings/energy/coal_plant.png,true,1900,2300,9,160,0.22,0,28,0,77,0,0,0,0,0,0,0,0,-15,1,25,6,20,10,-80,40,-45,10,-25,5,-120
natural_gas_plant,Natural Gas Plant,energy,Cleaner than coal but still fossil fuel,assets/buildings/energy/natural_gas_plant.png,true,3700,12,220,25,0.1,20,0,100,0,0,0,0,0,0,0,0,0,-8,1,35,12,30,12,-35,10,-22,5,-15,8,-15
brewery,Brewery,industrial,Craft beverage production facility,assets/buildings/industrial/brewery.png,true,2000,8,50,4,0.12,8,2,0,20,0,0,0,2,0,0,0,0,18,2,12,8,-10,5,-25,3,-20,2,-18,3,-43
skate_park,Skate Park,recreation,A great place to skate and hang out!,assets/buildings/recreation/skate_park.png,true,650,5,0,1,0.0075,0,0,0,0,0,0,0,0,0,0,6,2,30,6,15,5,12,3,22,2,-18,3,20,4,81
