id,name,category,description,graphicsFile,isDefault,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRate,jobsProvided,jobsRequired,energyProvided,energyRequired,educationProvided,educationRequired,foodProvided,foodRequired,housingProvided,housingRequired,healthcareProvided,healthcareRequired,culture_impact,culture_attenuation,affordability_impact,affordability_attenuation,resilience_impact,resilience_attenuation,environment_impact,environment_attenuation,noise_impact,noise_attenuation,safety_impact,safety_attenuation
fire_station,Fire Station,civic,Emergency response services that improve city-wide safety,assets/buildings/civic/fire_station.png,true,1500,5,0,8,0.05,3,0,0,5,0,0,0,0,0,0,0,0,5,3,2,4,10,5,3,2,-15,10,25,6
library,Library,civic,Public library providing educational and cultural resources,assets/buildings/education/library.png,true,400,3,0,2,0.05,3,1,0,8,8,0,0,0,0,0,0,0,25,12,8,5,15,8,-1,1,0,0,3,5
public_pool,Public Pool,civic,Community recreation and fitness facility,assets/buildings/civic/public_pool.png,true,300,4,15,3,0.12,4,1,0,12,0,0,0,0,0,0,2,0,12,10,5,8,5,8,-3,1,-2,1,-5,1
park,Park,civic,Green space providing environmental and recreational benefits,assets/buildings/civic/park.png,true,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,25,15,15,6,1,10,2,3,2
cottage,Cottage,housing,Small family home with 2 bedrooms,assets/buildings/housing/cottage.png,true,250,1,10,1,0.1,0,0,0,2,0,0,0,0,2,0,0,0,5,2,15,3,5,2,10,2,5,2,10,2
apartment_complex,Apartment Complex,housing,Multi-family housing with 8 bedrooms,assets/buildings/housing/apartments.png,true,800,7,80,5,0.15,1,1,0,30,0,0,0,0,10,0,0,0,2,2,20,4,5,2,-5,3,-10,5,5,2
farmers_market,Farmers Market,commercial,Local food distribution center,assets/buildings/commercial/farmers_market.png,true,250,2,25,2,0.12,2,1,0,5,0,0,16,0,0,0,0,0,8,12,6,5,2,8,10,0,2,1,2,3
taqueria,Taqueria,commercial,A great little place I know,assets/buildings/commercial/taqueria.png,true,700,4,30,4,0.135,6,0,0,8,0,0,8,0,0,0,0,0,7,3,3,3,1,1,-2,1,0,1,0,1
elementary_school,Elementary School,education,Primary education for children ages 5-13,assets/buildings/education/elementary_school.png,true,600,5,0,4,0.08,8,2,0,15,12,0,0,0,0,0,0,0,15,8,8,3,10,12,0,1,-1,2,3,5
high_school,High School,education,Secondary education for teenagers ages 14-18,assets/buildings/education/high_school.png,true,1000,8,0,6,0.08,12,3,0,25,20,0,0,0,0,0,0,0,18,5,10,3,5,15,-2,1,-1,2,3,5
solar_farm,Solar Farm,energy,Renewable energy generation facility,assets/buildings/energy/solar_farm.png,true,1000,4,15,1,0.08,2,1,25,0,0,0,0,0,0,0,0,0,2,-5,15,30,5,3,25,1,0,1,5,3
coal_plant,Coal Plant,energy,"""A coal plant",assets/buildings/energy/coal_plant.png,true,1900,2300,9,160,0.22,0,28,0,77,0,0,0,0,0,0,0,0,0,0,1,6,8,10,12,-40,12,-10,4,0
natural_gas_plant,Natural Gas Plant,energy,"They say natural gas is cleaner. Who is ""they""?",assets/buildings/energy/natural_gas_plant.png,true,3700,12,220,25,0.1,20,0,100,0,0,0,0,0,0,0,0,0,0,1,15,12,15,12,-15,10,-2,2,-2,12
brewery,Brewery,industrial,Craft beverage production facility,assets/buildings/industrial/brewery.png,true,2000,8,50,4,0.12,8,2,0,20,0,0,0,2,0,0,0,0,8,-2,3,-8,-12,-5,-10,3,-6,2,-5,3
skate_park,Skate Park,recreation,A great place to skate and hang out!,assets/buildings/recreation/skate_park.png,true,650,5,0,1,0.0075,0,0,0,0,0,0,0,0,0,0,6,2,12,6,-2,5,0,0,3,2,-3,1,-5,1
